,Star_name,Distance,Mass,Radius
1555,Antares,0600,12,680
1556,Spica,0260,11.43,7.47
1557,Pollux,0034,1.9,8.8
1558,Fomalhaut,0025,1.9,1.8
1559,Deneb,"2,600",19,203
1560,Mimosa,0350,16,8.4
1561,Regulus,0077,3.8,3.1
1562,Adhara,0430,12.5,14
1563,Shaula,0700,14.5,8.8
1564,Castor,0052,2.8,2.4
1565,Gacrux,0088,1.5,84
1566,Bellatrix,0240,8.6,5.8
1567,Elnath,0130,5.0,4.2
1568,Miaplacidus,0110,3.5,6.8
1569,Alnilam,"2,000",32,42
1570,Gamma Velorum,"01,100",9.0,6
1571,Alnair,0101,4.0,3.4
1572,Alioth,0081,2.9,4.2
1573,Alnitak,01050,33,20
1574,Dubhe,0120,4.25,30
1575,Mirfak,0590,8.5,68
1576,Wezen,"1,600",17,200
1577,Sargas,0270,5.7,26
1578,Kaus Australis,0140,3.5,6.8
1579,Avior,0630,9.0,130
1580,Alkaid,0104,6.1,3.4
1581,Menkalinan,081,2.39,2.77
1582,Atria,0390,7,92
1583,Alhena,0109,2.8,3.3
1584,Peacock,0180,5.9,4.8
1585,Alsephina[2],0080,2.4,2.9
1586,Mirzam,0500,13.5,10
1587,Polaris,0430,5.4,39
1588,Alphard,0180,3.0,50
1589,Mintaka,01200,24,16.5
1590,Scheat,0196,2.1,95
1591,Almaaz,0653,15,140
1592,Rasalgethi,0360,2.8,280
1593,Tau Ceti,011.9,0.783,0.893
1594,Delta Pavonis,019.92,0.991,1.22
1595,Ran,010.48,0.82,0.74
1596,Sun,0.000015813,1,1
1597,Sirius,0008.6,2.1,1.71
1598,Canopus,0310,15,71
1599,Alpha Centauri,0004.4,1.1,1.2
1600,Arcturus,0037,1.1,26
1601,Vega,0025,2.2,2.7
1602,Capella,0043,2.6,12
1603,Rigel,0860,23,78.9
1604,Procyon,0011.4,1.5,1.9
1605,Betelgeuse,0640[1],20,950
1606,Achernar,0144,6.7,9.3
1607,Hadar,0390,10.5,8.6
1608,Altair,0017,1.8,1.8
1609,Acrux,0320,18,8.9
1610,Aldebaran,0065,1.5,44
1611,Antares,0600,12,680
1612,Spica,0260,11.43,7.47
1613,Pollux,0034,1.9,8.8
1614,Fomalhaut,0025,1.9,1.8
1615,Deneb,"2,600",19,203
1616,Mimosa,0350,16,8.4
1617,Regulus,0077,3.8,3.1
1618,Adhara,0430,12.5,14
1619,Shaula,0700,14.5,8.8
1620,Castor,0052,2.8,2.4
1621,Gacrux,0088,1.5,84
1622,Bellatrix,0240,8.6,5.8
1623,Elnath,0130,5.0,4.2
1624,Miaplacidus,0110,3.5,6.8
1625,Alnilam,"2,000",32,42
1626,Gamma Velorum,"01,100",9.0,6
1627,Alnair,0101,4.0,3.4
1628,Alioth,0081,2.9,4.2
1629,Alnitak,01050,33,20
1630,Dubhe,0120,4.25,30
1631,Mirfak,0590,8.5,68
1632,Wezen,"1,600",17,200
1633,Sargas,0270,5.7,26
1634,Kaus Australis,0140,3.5,6.8
1635,Avior,0630,9.0,130
1636,Alkaid,0104,6.1,3.4
1637,Menkalinan,081,2.39,2.77
1638,Atria,0390,7,92
1639,Alhena,0109,2.8,3.3
1640,Peacock,0180,5.9,4.8
1641,Alsephina[2],0080,2.4,2.9
1642,Mirzam,0500,13.5,10
1643,Polaris,0430,5.4,39
1644,Alphard,0180,3.0,50
1645,Mintaka,01200,24,16.5
1646,Scheat,0196,2.1,95
1647,Almaaz,0653,15,140
1648,Rasalgethi,0360,2.8,280
1649,Tau Ceti,011.9,0.783,0.893
1650,Delta Pavonis,019.92,0.991,1.22
1651,Ran,010.48,0.82,0.74
1652,V382 Carinae,"08,900",20,485
1653,Sun,0.000015813,1,1
1654,Sirius,0008.6,2.1,1.71
1655,Canopus,0310,15,71
1656,Alpha Centauri,0004.4,1.1,1.2
1657,Arcturus,0037,1.1,26
1658,Vega,0025,2.2,2.7
1659,Capella,0043,2.6,12
1660,Rigel,0860,23,78.9
1661,Procyon,0011.4,1.5,1.9
1662,Betelgeuse,0640[1],20,950
1663,Achernar,0144,6.7,9.3
1664,Hadar,0390,10.5,8.6
1665,Altair,0017,1.8,1.8
1666,Acrux,0320,18,8.9
1667,Aldebaran,0065,1.5,44
1668,Antares,0600,12,680
1669,Spica,0260,11.43,7.47
1670,Pollux,0034,1.9,8.8
1671,Fomalhaut,0025,1.9,1.8
1672,Deneb,"2,600",19,203
1673,Mimosa,0350,16,8.4
1674,Regulus,0077,3.8,3.1
1675,Adhara,0430,12.5,14
1676,Shaula,0700,14.5,8.8
1677,Castor,0052,2.8,2.4
1678,Gacrux,0088,1.5,84
1679,Bellatrix,0240,8.6,5.8
1680,Elnath,0130,5.0,4.2
1681,Miaplacidus,0110,3.5,6.8
1682,Alnilam,"2,000",32,42
1683,Gamma Velorum,"01,100",9.0,6
1684,Alnair,0101,4.0,3.4
1685,Alioth,0081,2.9,4.2
1686,Alnitak,01050,33,20
1687,Dubhe,0120,4.25,30
1688,Mirfak,0590,8.5,68
1689,Wezen,"1,600",17,200
1690,Sargas,0270,5.7,26
1691,Kaus Australis,0140,3.5,6.8
1692,Avior,0630,9.0,130
1693,Alkaid,0104,6.1,3.4
1694,Menkalinan,081,2.39,2.77
1695,Atria,0390,7,92
1696,Alhena,0109,2.8,3.3
1697,Peacock,0180,5.9,4.8
1698,Alsephina[2],0080,2.4,2.9
1699,Mirzam,0500,13.5,10
1700,Polaris,0430,5.4,39
1701,Alphard,0180,3.0,50
1702,Mintaka,01200,24,16.5
1703,Scheat,0196,2.1,95
1704,Almaaz,0653,15,140
1705,Rasalgethi,0360,2.8,280
1706,Tau Ceti,011.9,0.783,0.893
1707,Delta Pavonis,019.92,0.991,1.22
1708,Ran,010.48,0.82,0.74
1709,V382 Carinae,"08,900",20,485
1710,Eta Carinae,"07,500",100,60 - 881
1711,Sun,0.000015813,1,1
1712,Sirius,0008.6,2.1,1.71
1713,Canopus,0310,15,71
1714,Alpha Centauri,0004.4,1.1,1.2
1715,Arcturus,0037,1.1,26
1716,Vega,0025,2.2,2.7
1717,Capella,0043,2.6,12
1718,Rigel,0860,23,78.9
1719,Procyon,0011.4,1.5,1.9
1720,Betelgeuse,0640[1],20,950
1721,Achernar,0144,6.7,9.3
1722,Hadar,0390,10.5,8.6
1723,Altair,0017,1.8,1.8
1724,Acrux,0320,18,8.9
1725,Aldebaran,0065,1.5,44
1726,Antares,0600,12,680
1727,Spica,0260,11.43,7.47
1728,Pollux,0034,1.9,8.8
1729,Fomalhaut,0025,1.9,1.8
1730,Deneb,"2,600",19,203
1731,Mimosa,0350,16,8.4
1732,Regulus,0077,3.8,3.1
1733,Adhara,0430,12.5,14
1734,Shaula,0700,14.5,8.8
1735,Castor,0052,2.8,2.4
1736,Gacrux,0088,1.5,84
1737,Bellatrix,0240,8.6,5.8
1738,Elnath,0130,5.0,4.2
1739,Miaplacidus,0110,3.5,6.8
1740,Alnilam,"2,000",32,42
1741,Gamma Velorum,"01,100",9.0,6
1742,Alnair,0101,4.0,3.4
1743,Alioth,0081,2.9,4.2
1744,Alnitak,01050,33,20
1745,Dubhe,0120,4.25,30
1746,Mirfak,0590,8.5,68
1747,Wezen,"1,600",17,200
1748,Sargas,0270,5.7,26
1749,Kaus Australis,0140,3.5,6.8
1750,Avior,0630,9.0,130
1751,Alkaid,0104,6.1,3.4
1752,Menkalinan,081,2.39,2.77
1753,Atria,0390,7,92
1754,Alhena,0109,2.8,3.3
1755,Peacock,0180,5.9,4.8
1756,Alsephina[2],0080,2.4,2.9
1757,Mirzam,0500,13.5,10
1758,Polaris,0430,5.4,39
1759,Alphard,0180,3.0,50
1760,Mintaka,01200,24,16.5
1761,Scheat,0196,2.1,95
1762,Almaaz,0653,15,140
1763,Rasalgethi,0360,2.8,280
1764,Tau Ceti,011.9,0.783,0.893
1765,Delta Pavonis,019.92,0.991,1.22
1766,Ran,010.48,0.82,0.74
1767,V382 Carinae,"08,900",20,485
1768,Eta Carinae,"07,500",100,60 - 881
1769,Delta Cephei,0887,4.5,44.5
1770,Sun,0.000015813,1,1
1771,Sirius,0008.6,2.1,1.71
1772,Canopus,0310,15,71
1773,Alpha Centauri,0004.4,1.1,1.2
1774,Arcturus,0037,1.1,26
1775,Vega,0025,2.2,2.7
1776,Capella,0043,2.6,12
1777,Rigel,0860,23,78.9
1778,Procyon,0011.4,1.5,1.9
1779,Betelgeuse,0640[1],20,950
1780,Achernar,0144,6.7,9.3
1781,Hadar,0390,10.5,8.6
1782,Altair,0017,1.8,1.8
1783,Acrux,0320,18,8.9
1784,Aldebaran,0065,1.5,44
1785,Antares,0600,12,680
1786,Spica,0260,11.43,7.47
1787,Pollux,0034,1.9,8.8
1788,Fomalhaut,0025,1.9,1.8
1789,Deneb,"2,600",19,203
1790,Mimosa,0350,16,8.4
1791,Regulus,0077,3.8,3.1
1792,Adhara,0430,12.5,14
1793,Shaula,0700,14.5,8.8
1794,Castor,0052,2.8,2.4
1795,Gacrux,0088,1.5,84
1796,Bellatrix,0240,8.6,5.8
1797,Elnath,0130,5.0,4.2
1798,Miaplacidus,0110,3.5,6.8
1799,Alnilam,"2,000",32,42
1800,Gamma Velorum,"01,100",9.0,6
1801,Alnair,0101,4.0,3.4
1802,Alioth,0081,2.9,4.2
1803,Alnitak,01050,33,20
1804,Dubhe,0120,4.25,30
1805,Mirfak,0590,8.5,68
1806,Wezen,"1,600",17,200
1807,Sargas,0270,5.7,26
1808,Kaus Australis,0140,3.5,6.8
1809,Avior,0630,9.0,130
1810,Alkaid,0104,6.1,3.4
1811,Menkalinan,081,2.39,2.77
1812,Atria,0390,7,92
1813,Alhena,0109,2.8,3.3
1814,Peacock,0180,5.9,4.8
1815,Alsephina[2],0080,2.4,2.9
1816,Mirzam,0500,13.5,10
1817,Polaris,0430,5.4,39
1818,Alphard,0180,3.0,50
1819,Mintaka,01200,24,16.5
1820,Scheat,0196,2.1,95
1821,Almaaz,0653,15,140
1822,Rasalgethi,0360,2.8,280
1823,Tau Ceti,011.9,0.783,0.893
1824,Delta Pavonis,019.92,0.991,1.22
1825,Ran,010.48,0.82,0.74
1826,V382 Carinae,"08,900",20,485
1827,Eta Carinae,"07,500",100,60 - 881
1828,Delta Cephei,0887,4.5,44.5
1829,Mu Cephei,"06,000",19.2,972
1830,Sun,0.000015813,1,1
1831,Sirius,0008.6,2.1,1.71
1832,Canopus,0310,15,71
1833,Alpha Centauri,0004.4,1.1,1.2
1834,Arcturus,0037,1.1,26
1835,Vega,0025,2.2,2.7
1836,Capella,0043,2.6,12
1837,Rigel,0860,23,78.9
1838,Procyon,0011.4,1.5,1.9
1839,Betelgeuse,0640[1],20,950
1840,Achernar,0144,6.7,9.3
1841,Hadar,0390,10.5,8.6
1842,Altair,0017,1.8,1.8
1843,Acrux,0320,18,8.9
1844,Aldebaran,0065,1.5,44
1845,Antares,0600,12,680
1846,Spica,0260,11.43,7.47
1847,Pollux,0034,1.9,8.8
1848,Fomalhaut,0025,1.9,1.8
1849,Deneb,"2,600",19,203
1850,Mimosa,0350,16,8.4
1851,Regulus,0077,3.8,3.1
1852,Adhara,0430,12.5,14
1853,Shaula,0700,14.5,8.8
1854,Castor,0052,2.8,2.4
1855,Gacrux,0088,1.5,84
1856,Bellatrix,0240,8.6,5.8
1857,Elnath,0130,5.0,4.2
1858,Miaplacidus,0110,3.5,6.8
1859,Alnilam,"2,000",32,42
1860,Gamma Velorum,"01,100",9.0,6
1861,Alnair,0101,4.0,3.4
1862,Alioth,0081,2.9,4.2
1863,Alnitak,01050,33,20
1864,Dubhe,0120,4.25,30
1865,Mirfak,0590,8.5,68
1866,Wezen,"1,600",17,200
1867,Sargas,0270,5.7,26
1868,Kaus Australis,0140,3.5,6.8
1869,Avior,0630,9.0,130
1870,Alkaid,0104,6.1,3.4
1871,Menkalinan,081,2.39,2.77
1872,Atria,0390,7,92
1873,Alhena,0109,2.8,3.3
1874,Peacock,0180,5.9,4.8
1875,Alsephina[2],0080,2.4,2.9
1876,Mirzam,0500,13.5,10
1877,Polaris,0430,5.4,39
1878,Alphard,0180,3.0,50
1879,Mintaka,01200,24,16.5
1880,Scheat,0196,2.1,95
1881,Almaaz,0653,15,140
1882,Rasalgethi,0360,2.8,280
1883,Tau Ceti,011.9,0.783,0.893
1884,Delta Pavonis,019.92,0.991,1.22
1885,Ran,010.48,0.82,0.74
1886,V382 Carinae,"08,900",20,485
1887,Eta Carinae,"07,500",100,60 - 881
1888,Delta Cephei,0887,4.5,44.5
1889,Mu Cephei,"06,000",19.2,972
1890,Titawin,044.25,1.27,1.48
1891,Sun,0.000015813,1,1
1892,Sirius,0008.6,2.1,1.71
1893,Canopus,0310,15,71
1894,Alpha Centauri,0004.4,1.1,1.2
1895,Arcturus,0037,1.1,26
1896,Vega,0025,2.2,2.7
1897,Capella,0043,2.6,12
1898,Rigel,0860,23,78.9
1899,Procyon,0011.4,1.5,1.9
1900,Betelgeuse,0640[1],20,950
1901,Achernar,0144,6.7,9.3
1902,Hadar,0390,10.5,8.6
1903,Altair,0017,1.8,1.8
1904,Acrux,0320,18,8.9
1905,Aldebaran,0065,1.5,44
1906,Antares,0600,12,680
1907,Spica,0260,11.43,7.47
1908,Pollux,0034,1.9,8.8
1909,Fomalhaut,0025,1.9,1.8
1910,Deneb,"2,600",19,203
1911,Mimosa,0350,16,8.4
1912,Regulus,0077,3.8,3.1
1913,Adhara,0430,12.5,14
1914,Shaula,0700,14.5,8.8
1915,Castor,0052,2.8,2.4
1916,Gacrux,0088,1.5,84
1917,Bellatrix,0240,8.6,5.8
1918,Elnath,0130,5.0,4.2
1919,Miaplacidus,0110,3.5,6.8
1920,Alnilam,"2,000",32,42
1921,Gamma Velorum,"01,100",9.0,6
1922,Alnair,0101,4.0,3.4
1923,Alioth,0081,2.9,4.2
1924,Alnitak,01050,33,20
1925,Dubhe,0120,4.25,30
1926,Mirfak,0590,8.5,68
1927,Wezen,"1,600",17,200
1928,Sargas,0270,5.7,26
1929,Kaus Australis,0140,3.5,6.8
1930,Avior,0630,9.0,130
1931,Alkaid,0104,6.1,3.4
1932,Menkalinan,081,2.39,2.77
1933,Atria,0390,7,92
1934,Alhena,0109,2.8,3.3
1935,Peacock,0180,5.9,4.8
1936,Alsephina[2],0080,2.4,2.9
1937,Mirzam,0500,13.5,10
1938,Polaris,0430,5.4,39
1939,Alphard,0180,3.0,50
1940,Mintaka,01200,24,16.5
1941,Scheat,0196,2.1,95
1942,Almaaz,0653,15,140
1943,Rasalgethi,0360,2.8,280
1944,Tau Ceti,011.9,0.783,0.893
1945,Delta Pavonis,019.92,0.991,1.22
1946,Ran,010.48,0.82,0.74
1947,V382 Carinae,"08,900",20,485
1948,Eta Carinae,"07,500",100,60 - 881
1949,Delta Cephei,0887,4.5,44.5
1950,Mu Cephei,"06,000",19.2,972
1951,Titawin,044.25,1.27,1.48
1952,Rho Cassiopeiae,"08,154",22,636-981
1953,Sun,0.000015813,1,1
1954,Sirius,0008.6,2.1,1.71
1955,Canopus,0310,15,71
1956,Alpha Centauri,0004.4,1.1,1.2
1957,Arcturus,0037,1.1,26
1958,Vega,0025,2.2,2.7
1959,Capella,0043,2.6,12
1960,Rigel,0860,23,78.9
1961,Procyon,0011.4,1.5,1.9
1962,Betelgeuse,0640[1],20,950
1963,Achernar,0144,6.7,9.3
1964,Hadar,0390,10.5,8.6
1965,Altair,0017,1.8,1.8
1966,Acrux,0320,18,8.9
1967,Aldebaran,0065,1.5,44
1968,Antares,0600,12,680
1969,Spica,0260,11.43,7.47
1970,Pollux,0034,1.9,8.8
1971,Fomalhaut,0025,1.9,1.8
1972,Deneb,"2,600",19,203
1973,Mimosa,0350,16,8.4
1974,Regulus,0077,3.8,3.1
1975,Adhara,0430,12.5,14
1976,Shaula,0700,14.5,8.8
1977,Castor,0052,2.8,2.4
1978,Gacrux,0088,1.5,84
1979,Bellatrix,0240,8.6,5.8
1980,Elnath,0130,5.0,4.2
1981,Miaplacidus,0110,3.5,6.8
1982,Alnilam,"2,000",32,42
1983,Gamma Velorum,"01,100",9.0,6
1984,Alnair,0101,4.0,3.4
1985,Alioth,0081,2.9,4.2
1986,Alnitak,01050,33,20
1987,Dubhe,0120,4.25,30
1988,Mirfak,0590,8.5,68
1989,Wezen,"1,600",17,200
1990,Sargas,0270,5.7,26
1991,Kaus Australis,0140,3.5,6.8
1992,Avior,0630,9.0,130
1993,Alkaid,0104,6.1,3.4
1994,Menkalinan,081,2.39,2.77
1995,Atria,0390,7,92
1996,Alhena,0109,2.8,3.3
1997,Peacock,0180,5.9,4.8
1998,Alsephina[2],0080,2.4,2.9
1999,Mirzam,0500,13.5,10
2000,Polaris,0430,5.4,39
2001,Alphard,0180,3.0,50
2002,Mintaka,01200,24,16.5
2003,Scheat,0196,2.1,95
2004,Almaaz,0653,15,140
2005,Rasalgethi,0360,2.8,280
2006,Tau Ceti,011.9,0.783,0.893
2007,Delta Pavonis,019.92,0.991,1.22
2008,Ran,010.48,0.82,0.74
2009,V382 Carinae,"08,900",20,485
2010,Eta Carinae,"07,500",100,60 - 881
2011,Delta Cephei,0887,4.5,44.5
2012,Mu Cephei,"06,000",19.2,972
2013,Titawin,044.25,1.27,1.48
2014,Rho Cassiopeiae,"08,154",22,636-981
2015,P Cygni,"05,545",30,76
2016,Sun,0.000015813,1,1
2017,Sirius,0008.6,2.1,1.71
2018,Canopus,0310,15,71
2019,Alpha Centauri,0004.4,1.1,1.2
2020,Arcturus,0037,1.1,26
2021,Vega,0025,2.2,2.7
2022,Capella,0043,2.6,12
2023,Rigel,0860,23,78.9
2024,Procyon,0011.4,1.5,1.9
2025,Betelgeuse,0640[1],20,950
2026,Achernar,0144,6.7,9.3
2027,Hadar,0390,10.5,8.6
2028,Altair,0017,1.8,1.8
2029,Acrux,0320,18,8.9
2030,Aldebaran,0065,1.5,44
2031,Antares,0600,12,680
2032,Spica,0260,11.43,7.47
2033,Pollux,0034,1.9,8.8
2034,Fomalhaut,0025,1.9,1.8
2035,Deneb,"2,600",19,203
2036,Mimosa,0350,16,8.4
2037,Regulus,0077,3.8,3.1
2038,Adhara,0430,12.5,14
2039,Shaula,0700,14.5,8.8
2040,Castor,0052,2.8,2.4
2041,Gacrux,0088,1.5,84
2042,Bellatrix,0240,8.6,5.8
2043,Elnath,0130,5.0,4.2
2044,Miaplacidus,0110,3.5,6.8
2045,Alnilam,"2,000",32,42
2046,Gamma Velorum,"01,100",9.0,6
2047,Alnair,0101,4.0,3.4
2048,Alioth,0081,2.9,4.2
2049,Alnitak,01050,33,20
2050,Dubhe,0120,4.25,30
2051,Mirfak,0590,8.5,68
2052,Wezen,"1,600",17,200
2053,Sargas,0270,5.7,26
2054,Kaus Australis,0140,3.5,6.8
2055,Avior,0630,9.0,130
2056,Alkaid,0104,6.1,3.4
2057,Menkalinan,081,2.39,2.77
2058,Atria,0390,7,92
2059,Alhena,0109,2.8,3.3
2060,Peacock,0180,5.9,4.8
2061,Alsephina[2],0080,2.4,2.9
2062,Mirzam,0500,13.5,10
2063,Polaris,0430,5.4,39
2064,Alphard,0180,3.0,50
2065,Mintaka,01200,24,16.5
2066,Scheat,0196,2.1,95
2067,Almaaz,0653,15,140
2068,Rasalgethi,0360,2.8,280
2069,Tau Ceti,011.9,0.783,0.893
2070,Delta Pavonis,019.92,0.991,1.22
2071,Ran,010.48,0.82,0.74
2072,V382 Carinae,"08,900",20,485
2073,Eta Carinae,"07,500",100,60 - 881
2074,Delta Cephei,0887,4.5,44.5
2075,Mu Cephei,"06,000",19.2,972
2076,Titawin,044.25,1.27,1.48
2077,Rho Cassiopeiae,"08,154",22,636-981
2078,P Cygni,"05,545",30,76
2079,La Superba,"01,000",,129 - 342
2080,Sun,0.000015813,1,1
2081,Sirius,0008.6,2.1,1.71
2082,Canopus,0310,15,71
2083,Alpha Centauri,0004.4,1.1,1.2
2084,Arcturus,0037,1.1,26
2085,Vega,0025,2.2,2.7
2086,Capella,0043,2.6,12
2087,Rigel,0860,23,78.9
2088,Procyon,0011.4,1.5,1.9
2089,Betelgeuse,0640[1],20,950
2090,Achernar,0144,6.7,9.3
2091,Hadar,0390,10.5,8.6
2092,Altair,0017,1.8,1.8
2093,Acrux,0320,18,8.9
2094,Aldebaran,0065,1.5,44
2095,Antares,0600,12,680
2096,Spica,0260,11.43,7.47
2097,Pollux,0034,1.9,8.8
2098,Fomalhaut,0025,1.9,1.8
2099,Deneb,"2,600",19,203
2100,Mimosa,0350,16,8.4
2101,Regulus,0077,3.8,3.1
2102,Adhara,0430,12.5,14
2103,Shaula,0700,14.5,8.8
2104,Castor,0052,2.8,2.4
2105,Gacrux,0088,1.5,84
2106,Bellatrix,0240,8.6,5.8
2107,Elnath,0130,5.0,4.2
2108,Miaplacidus,0110,3.5,6.8
2109,Alnilam,"2,000",32,42
2110,Gamma Velorum,"01,100",9.0,6
2111,Alnair,0101,4.0,3.4
2112,Alioth,0081,2.9,4.2
2113,Alnitak,01050,33,20
2114,Dubhe,0120,4.25,30
2115,Mirfak,0590,8.5,68
2116,Wezen,"1,600",17,200
2117,Sargas,0270,5.7,26
2118,Kaus Australis,0140,3.5,6.8
2119,Avior,0630,9.0,130
2120,Alkaid,0104,6.1,3.4
2121,Menkalinan,081,2.39,2.77
2122,Atria,0390,7,92
2123,Alhena,0109,2.8,3.3
2124,Peacock,0180,5.9,4.8
2125,Alsephina[2],0080,2.4,2.9
2126,Mirzam,0500,13.5,10
2127,Polaris,0430,5.4,39
2128,Alphard,0180,3.0,50
2129,Mintaka,01200,24,16.5
2130,Scheat,0196,2.1,95
2131,Almaaz,0653,15,140
2132,Rasalgethi,0360,2.8,280
2133,Tau Ceti,011.9,0.783,0.893
2134,Delta Pavonis,019.92,0.991,1.22
2135,Ran,010.48,0.82,0.74
2136,V382 Carinae,"08,900",20,485
2137,Eta Carinae,"07,500",100,60 - 881
2138,Delta Cephei,0887,4.5,44.5
2139,Mu Cephei,"06,000",19.2,972
2140,Titawin,044.25,1.27,1.48
2141,Rho Cassiopeiae,"08,154",22,636-981
2142,P Cygni,"05,545",30,76
2143,La Superba,"01,000",,129 - 342
2144,VV Cephei,"04,900",18.2,"516 - 1,050"
2145,Sun,0.000015813,1,1
2146,Sirius,0008.6,2.1,1.71
2147,Canopus,0310,15,71
2148,Alpha Centauri,0004.4,1.1,1.2
2149,Arcturus,0037,1.1,26
2150,Vega,0025,2.2,2.7
2151,Capella,0043,2.6,12
2152,Rigel,0860,23,78.9
2153,Procyon,0011.4,1.5,1.9
2154,Betelgeuse,0640[1],20,950
2155,Achernar,0144,6.7,9.3
2156,Hadar,0390,10.5,8.6
2157,Altair,0017,1.8,1.8
2158,Acrux,0320,18,8.9
2159,Aldebaran,0065,1.5,44
2160,Antares,0600,12,680
2161,Spica,0260,11.43,7.47
2162,Pollux,0034,1.9,8.8
2163,Fomalhaut,0025,1.9,1.8
2164,Deneb,"2,600",19,203
2165,Mimosa,0350,16,8.4
2166,Regulus,0077,3.8,3.1
2167,Adhara,0430,12.5,14
2168,Shaula,0700,14.5,8.8
2169,Castor,0052,2.8,2.4
2170,Gacrux,0088,1.5,84
2171,Bellatrix,0240,8.6,5.8
2172,Elnath,0130,5.0,4.2
2173,Miaplacidus,0110,3.5,6.8
2174,Alnilam,"2,000",32,42
2175,Gamma Velorum,"01,100",9.0,6
2176,Alnair,0101,4.0,3.4
2177,Alioth,0081,2.9,4.2
2178,Alnitak,01050,33,20
2179,Dubhe,0120,4.25,30
2180,Mirfak,0590,8.5,68
2181,Wezen,"1,600",17,200
2182,Sargas,0270,5.7,26
2183,Kaus Australis,0140,3.5,6.8
2184,Avior,0630,9.0,130
2185,Alkaid,0104,6.1,3.4
2186,Menkalinan,081,2.39,2.77
2187,Atria,0390,7,92
2188,Alhena,0109,2.8,3.3
2189,Peacock,0180,5.9,4.8
2190,Alsephina[2],0080,2.4,2.9
2191,Mirzam,0500,13.5,10
2192,Polaris,0430,5.4,39
2193,Alphard,0180,3.0,50
2194,Mintaka,01200,24,16.5
2195,Scheat,0196,2.1,95
2196,Almaaz,0653,15,140
2197,Rasalgethi,0360,2.8,280
2198,Tau Ceti,011.9,0.783,0.893
2199,Delta Pavonis,019.92,0.991,1.22
2200,Ran,010.48,0.82,0.74
2201,V382 Carinae,"08,900",20,485
2202,Eta Carinae,"07,500",100,60 - 881
2203,Delta Cephei,0887,4.5,44.5
2204,Mu Cephei,"06,000",19.2,972
2205,Titawin,044.25,1.27,1.48
2206,Rho Cassiopeiae,"08,154",22,636-981
2207,P Cygni,"05,545",30,76
2208,La Superba,"01,000",,129 - 342
2209,VV Cephei,"04,900",18.2,"516 - 1,050"
2210,61 Cygni,011.41,0.7,0.665
2211,Sun,0.000015813,1,1
2212,Sirius,0008.6,2.1,1.71
2213,Canopus,0310,15,71
2214,Alpha Centauri,0004.4,1.1,1.2
2215,Arcturus,0037,1.1,26
2216,Vega,0025,2.2,2.7
2217,Capella,0043,2.6,12
2218,Rigel,0860,23,78.9
2219,Procyon,0011.4,1.5,1.9
2220,Betelgeuse,0640[1],20,950
2221,Achernar,0144,6.7,9.3
2222,Hadar,0390,10.5,8.6
2223,Altair,0017,1.8,1.8
2224,Acrux,0320,18,8.9
2225,Aldebaran,0065,1.5,44
2226,Antares,0600,12,680
2227,Spica,0260,11.43,7.47
2228,Pollux,0034,1.9,8.8
2229,Fomalhaut,0025,1.9,1.8
2230,Deneb,"2,600",19,203
2231,Mimosa,0350,16,8.4
2232,Regulus,0077,3.8,3.1
2233,Adhara,0430,12.5,14
2234,Shaula,0700,14.5,8.8
2235,Castor,0052,2.8,2.4
2236,Gacrux,0088,1.5,84
2237,Bellatrix,0240,8.6,5.8
2238,Elnath,0130,5.0,4.2
2239,Miaplacidus,0110,3.5,6.8
2240,Alnilam,"2,000",32,42
2241,Gamma Velorum,"01,100",9.0,6
2242,Alnair,0101,4.0,3.4
2243,Alioth,0081,2.9,4.2
2244,Alnitak,01050,33,20
2245,Dubhe,0120,4.25,30
2246,Mirfak,0590,8.5,68
2247,Wezen,"1,600",17,200
2248,Sargas,0270,5.7,26
2249,Kaus Australis,0140,3.5,6.8
2250,Avior,0630,9.0,130
2251,Alkaid,0104,6.1,3.4
2252,Menkalinan,081,2.39,2.77
2253,Atria,0390,7,92
2254,Alhena,0109,2.8,3.3
2255,Peacock,0180,5.9,4.8
2256,Alsephina[2],0080,2.4,2.9
2257,Mirzam,0500,13.5,10
2258,Polaris,0430,5.4,39
2259,Alphard,0180,3.0,50
2260,Mintaka,01200,24,16.5
2261,Scheat,0196,2.1,95
2262,Almaaz,0653,15,140
2263,Rasalgethi,0360,2.8,280
2264,Tau Ceti,011.9,0.783,0.893
2265,Delta Pavonis,019.92,0.991,1.22
2266,Ran,010.48,0.82,0.74
2267,V382 Carinae,"08,900",20,485
2268,Eta Carinae,"07,500",100,60 - 881
2269,Delta Cephei,0887,4.5,44.5
2270,Mu Cephei,"06,000",19.2,972
2271,Titawin,044.25,1.27,1.48
2272,Rho Cassiopeiae,"08,154",22,636-981
2273,P Cygni,"05,545",30,76
2274,La Superba,"01,000",,129 - 342
2275,VV Cephei,"04,900",18.2,"516 - 1,050"
2276,61 Cygni,011.41,0.7,0.665
2277,R Doradus,0178,0.7 - 1.0,298
2278,Sun,0.000015813,1,1
2279,Sirius,0008.6,2.1,1.71
2280,Canopus,0310,15,71
2281,Alpha Centauri,0004.4,1.1,1.2
2282,Arcturus,0037,1.1,26
2283,Vega,0025,2.2,2.7
2284,Capella,0043,2.6,12
2285,Rigel,0860,23,78.9
2286,Procyon,0011.4,1.5,1.9
2287,Betelgeuse,0640[1],20,950
2288,Achernar,0144,6.7,9.3
2289,Hadar,0390,10.5,8.6
